"ncbi_gene_id","gene_symbol","PAAD_fdr_adjusted_p_value","PAAD_cancer_sample_med","PAAD_normal_sample_med","PAAD_log2_fold_change","PAAD_p_value","KIRC_fdr_adjusted_p_value","KIRC_cancer_sample_med","KIRC_normal_sample_med","KIRC_log2_fold_change","KIRC_p_value","BRCA_fdr_adjusted_p_value","BRCA_cancer_sample_med","BRCA_normal_sample_med","BRCA_log2_fold_change","BRCA_p_value","LUAD_fdr_adjusted_p_value","LUAD_cancer_sample_med","LUAD_normal_sample_med","LUAD_log2_fold_change","LUAD_p_value"
145376,"PPP1R36",0.0016254,6.898,3.304,1.06196444204141,0.0281894935427574,3.6e-11,1,4.834,-2.2732174731035,1.09132014095961e-10,0.0015135,1.855,3.444,-0.892665955888678,0.00247996874330214,0.019234,1.309,2.648,-1.01643802486198,0.0273856869609659
145389,"SLC38A6",0.01249,10.842,17.332,-0.676807229686113,0.124109775775776,4.2198e-14,14.305,11.11,0.364660680934091,1.54367103042198e-13,0.023719,13.061,13.096,-0.00386086757402336,0.0334519287295536,0.0068522,15.398,12.341,0.319283673932036,0.0104327764312065
145438,"FRMD6-AS1",0.00074503,1,1,0,0.0158354770449679,0.031432,1,1,0,0.047143784334764,0.001188,1,1,0,0.0019716897025834,6.9648e-05,1,1,0,0.000136737577167019
145567,"TTC7B",0.0082305,1.914,2.783,-0.540050078845582,0.0928362988636364,5.4968e-05,4.035,4.918,-0.28550306143094,0.000108932685451001,5.3245e-17,1.797,3.151,-0.810219345507598,2.18535088582677e-16,5.1172e-17,1.69,3.348,-0.986276281380797,2.26688603458557e-16
146330,"FBXL16",0.00011437,2.755,2.394,0.202629166515018,0.00365027852090032,1e-20,36.125,12.156,1.57132900764047,5.66341093670886e-20,1e-20,17.822,6.981,1.35215362983246,5.02960526315789e-20,1e-20,4.04,3.274,0.303300971165004,5.48805712878601e-20
146336,"SSTR5-AS1",3.1912e-06,1.196,1,0.258217389536018,0.000173092083060109,2.1226e-06,1,1.424,-0.509949146304311,4.65888828263003e-06,0.00090706,1,1,0,0.0015256248973306,0.0070894,1,1,0,0.0107674429467085
146664,"MGAT5B",0.0021372,1,1,0,0.0345221272579333,0.011252,1,1,0,0.0180493603958976,2.5949e-16,1,1,0,1.02328114683631e-15,0.015519,1,1,0,0.0224228082458187
146722,"CD300LF",0.0013381,7.73,27.285,-1.8195677244478,0.0242150968094804,1e-20,7.405,1,2.88849973551412,5.66341093670886e-20,2.2108e-15,3.56,1.807,0.978280734989161,8.27021660414288e-15,2.2228e-16,10.257,38.467,-1.90701249118046,9.48306730474732e-16
146845,"CFAP52",0.032181,1,1,0,0.232616008736804,0.00011189,1,1,0,0.000216650657085967,1.748e-06,1,1,0,3.8474452975048e-06,0.00021114,1.018,6.783,-2.73618593139699,0.000395435057142857
1469,"CST1",0.0039451,101.811,57.551,0.822980541616513,0.0546914282122905,1.8441e-05,1,1,0,3.7846522848229e-05,1e-20,15.541,1,3.95800743316478,5.02960526315789e-20,9.3506e-09,14.308,1,3.83875011833314,2.46128288886264e-08
