"cancer_type","ncbi_gene_id","fdr_adjusted_p_value","cancer_sample_med","normal_sample_med","log2_fold_change","p_value","gene_symbol"
"PAAD",63027,3.4172e-06,9.635,8.021,0.264502553892573,0.000183843507859079,"SLC22A23"
"PAAD",7020,0.029291,7.392,3.886,0.927678855830713,0.217577623036649,"TFAP2A"
"PAAD",109729173,0.010326,1,1,0,0.10817506701847,"AL138885.3"
"PAAD",100113407,0.045401,1.446,4.215,-1.54346507887833,0.286399952971084,"TMEM170B"
"PAAD",84830,3.5273e-08,6.352,5.085,0.320963138398096,3.59097228717949e-06,"ADTRP"
"PAAD",3096,0.030261,6.79,10.323,-0.604378818326043,0.222496804444444,"HIVEP1"
"PAAD",100506681,0.022826,1,1,0,0.185838812628126,"JARID2-AS1"
"PAAD",221662,0.0045314,1,1,0,0.0607819951351351,"RBM24"
"PAAD",7172,0.037426,22.645,21.491,0.0754599248645213,0.254707217003771,"TPMT"
"PAAD",255488,0.0068906,9.267,24.954,-1.42909681401872,0.0821574721921922,"RNF144B"
"PAAD",5617,0.040969,1,1,0,0.268864987768595,"PRL"
"PAAD",140767,0.00022932,1,1,0,0.0064028982278481,"NRSN1"
"PAAD",55604,0.011575,15.188,8.277,0.87575204154466,0.117598208802457,"CARMIL1"
"PAAD",10590,0.0020255,21.137,17.601,0.264113229953526,0.0331100667763158,"SCGN"
"PAAD",100422934,0.029389,1,1,0,0.217794002239642,"MIR3143"
"PAAD",26212,0.015454,1,1,0,0.1436295917603,"OR2B6"
"PAAD",222696,0.011753,1,1,0,0.118859172694855,"ZSCAN23"
"PAAD",414760,0.010212,1,1,0,0.107434352941176,"HCG14"
"PAAD",10255,0.0078167,1,1,0,0.0892176262068965,"HCG9"
"PAAD",80352,3.3141e-05,9.31,3.248,1.51922953526098,0.0013105879123506,"RNF39"
"PAAD",11074,0.020846,34.104,1.62,4.39587524219195,0.175205246401355,"TRIM31"
"PAAD",104533120,8.5262e-13,1.743,1,0.801572569463598,3.1936249509434e-10,"TRIM31-AS1"
"PAAD",135644,0.0092229,1,1,0,0.10005082557377,"TRIM40"
"PAAD",10107,4.2908e-16,1.212,1,0.277389698810864,3.71137455652174e-13,"TRIM10"
"PAAD",89870,0.0010318,16.294,1.315,3.63120610867297,0.0201013676153091,"TRIM15"
"PAAD",414778,0.036676,1,1,0,0.251760702627939,"HCG17"
"PAAD",389376,0.02331,93.716,21.239,2.14157953714695,0.188412205128205,"SFTA2"
"PAAD",135656,9.3709e-13,44.468,1,5.47469561414913,3.38238376e-10,"MUCL3"
"PAAD",394263,0.0065183,1,1,0,0.0789470851919561,"MUC21"
"PAAD",29113,0.0059192,1,1,0,0.0738115316582915,"C6orf15"
"PAAD",170679,0.013777,12.477,5.308,1.23303081499732,0.132767477669903,"PSORS1C1"
"PAAD",170680,1.957e-12,1.011,1,0.0157829972409275,6.937565e-10,"PSORS1C2"
"PAAD",5460,0.0081317,8.776,4.618,0.926295352629078,0.0920881394181403,"POU5F1"
"PAAD",105375015,0.0098425,1,1,0,0.104768530831099,"LINC02571"
"PAAD",102465537,0.0054486,1,1,0,0.0694705248554913,"MIR6891"
"PAAD",199,0.036214,102.92,309.618,-1.58896598447842,0.249278893203884,"AIF1"
"PAAD",80740,2.9863e-06,1,1,0,0.000163768032044199,"LY6G6C"
"PAAD",1192,0.035575,982.812,740.476,0.408462496676072,0.246246478382148,"CLIC1"
"PAAD",80737,0.007608,7.111,4.314,0.721026279773195,0.0877200162601626,"VWA7"
"PAAD",3304,0.012447,53.934,33.172,0.701229037442971,0.124045102409639,"HSPA1B"
"PAAD",80736,0.0028507,237.933,98.762,1.26852742203795,0.0430942502283105,"SLC44A4"
"PAAD",7936,0.035523,106.976,99.424,0.105621113495563,0.246144012565445,"NELFE"
"PAAD",80863,0.002627,2.817,2.57,0.13239120429369,0.0403862204334365,"PRRT1"
"PAAD",3127,0.0046009,313.123,827.334,-1.40174038870044,0.0614237167451244,"HLA-DRB5"
"PAAD",3118,0.0041356,30.046,228.659,-2.92795286063083,0.05640095,"HLA-DQA2"
"PAAD",3120,0.0070126,33.909,115.987,-1.77422297092874,0.0831176573134328,"HLA-DQB2"
"PAAD",3113,0.0427,353.9,1207.447,-1.77054619753493,0.275668422764228,"HLA-DPA1"
"PAAD",3115,0.025649,132.481,368.191,-1.47466889430249,0.199899043956044,"HLA-DPB1"
"PAAD",10471,0.00019397,110.05,103.056,0.0947306430863525,0.00562318767883212,"PFDN6"
"PAAD",51596,0.0050199,271.068,259.498,0.0629313913255066,0.0653047541284404,"CUTA"
"PAAD",2914,0.00016498,1,1,0,0.00494740628398792,"GRM4"
"PAAD",3159,0.0015383,274.098,143.424,0.934405342272855,0.0269773247349823,"HMGA1"
"PAAD",25803,5.2184e-11,29.795,1.212,4.61960864352805,1.3453984e-08,"SPDEF"
"PAAD",6954,0.032637,1,1,0,0.234615852280956,"TCP11"
