"cancer_type","ncbi_gene_id","fdr_adjusted_p_value","cancer_sample_med","normal_sample_med","log2_fold_change","p_value","gene_symbol"
"COAD",6819,4.702e-16,8.306,1.152,2.85001315498248,3.06920099241098e-15,"SULT1C2"
"COAD",10913,1e-20,7.548,1.582,2.25434482312765,9.45981387478849e-20,"EDAR"
"COAD",7851,3.9817e-16,8.626,60.949,-2.82083892932613,2.61429116559013e-15,"MALL"
"COAD",699,1e-20,28.701,9.226,1.63732380662892,9.45981387478849e-20,"BUB1"
"COAD",541471,1e-20,9.363,2.215,2.07966415919799,9.45981387478849e-20,"MIR4435-2HG"
"COAD",150468,1e-20,8.758,2.603,1.75042613804854,9.45981387478849e-20,"CKAP2L"
"COAD",3557,1.7156e-12,17.557,4.735,1.89061001891459,8.26140456503015e-12,"IL1RN"
"COAD",389023,5.6869e-12,1,13.012,-3.70177082237905,2.62435296533223e-11,"DPP10-AS1"
"COAD",140738,7.9825e-14,14.369,193.603,-3.75206974115102,4.32338695810124e-13,"TMEM37"
"COAD",29798,1e-20,5.563,1.453,1.93682840262077,9.45981387478849e-20,"C2orf27A"
"COAD",2191,1e-20,9.273,1,3.21303615491729,9.45981387478849e-20,"FAP"
"COAD",6335,1.661e-14,1,3.759,-1.91034891538093,9.51458580942623e-14,"SCN9A"
"COAD",8708,4.8555e-15,1,6.235,-2.64038956005495,2.90485678170144e-14,"B3GALT1"
"COAD",10170,4.0107e-14,7.361,249.851,-5.0850224107667,2.23057160159164e-13,"DHRS9"
"COAD",389058,1e-20,8.583,1.127,2.92899448287212,9.45981387478849e-20,"SP5"
"COAD",83879,1e-20,137.267,40.468,1.76213137728638,9.45981387478849e-20,"CDCA7"
"COAD",401022,7.4454e-20,3.683,28.778,-2.96601302946582,6.59411802772277e-19,"HAGLR"
"COAD",1290,1e-20,60.51,16.839,1.84536711953838,9.45981387478849e-20,"COL5A2"
"COAD",84281,2.8991e-19,3.654,66.204,-4.17936984722676,2.47358158336513e-18,"C2orf88"
"COAD",57181,1e-20,18.906,5.079,1.8962277811219,9.45981387478849e-20,"SLC39A10"
"COAD",6556,1e-20,4.411,1.073,2.0394556843357,9.45981387478849e-20,"SLC11A1"
"COAD",130340,1e-20,8.32,2.179,1.93291733191255,9.45981387478849e-20,"AP1S3"
