Cancer type,NCBI gene id,Gene symbol,FDR adjusted p-value,log2 fold change
LUAD,1325,CORT,2.0841e-08,0.0
LUAD,1676,DFFA,4.9399e-15,0.22995278898445
LUAD,5195,PEX14,0.0018369,-0.229481846122767
LUAD,54897,CASZ1,3.8466e-11,-1.17108241984181
LUAD,148345,C1orf127,2.1408e-12,0.0
LUAD,23435,TARDBP,1.0591e-12,0.320948715973135
LUAD,10747,MASP2,0.03375,-0.887174525462434
LUAD,6723,SRM,1e-20,1.15953384444243
LUAD,5394,EXOSC10,2.7113e-16,0.340821244588547
LUAD,105376736,EXOSC10-AS1,1e-20,0.0
LUAD,2475,MTOR,5.4965e-16,0.319490384484484
LUAD,10218,ANGPTL7,2.8928e-10,-1.76511036187958
LUAD,29914,UBIAD1,1e-20,0.292939563587904
LUAD,57540,DISP3,1.2131e-06,0.0
LUAD,26232,FBXO2,4.9996e-20,0.467359488909734
LUAD,93611,FBXO44,5.488e-19,0.457171909221335
LUAD,26270,FBXO6,1e-20,0.497838104007499
LUAD,10459,MAD2L2,1e-20,0.890786326987453
LUAD,374946,DRAXIN,0.00018351,0.0
LUAD,57085,AGTRAP,5.4421e-14,0.212404038657601
LUAD,4524,MTHFR,9.6606e-05,-0.493914189648847
LUAD,1185,CLCN6,0.0016944,-0.480806883096969
LUAD,4878,NPPA,0.077558,0.0
LUAD,4879,NPPB,0.033424,0.0
LUAD,90231,KIAA2013,1e-20,0.280524910766809
LUAD,5351,PLOD1,1e-20,0.827596224019608
LUAD,9927,MFN2,0.00048039,-0.248381764766646
LUAD,60672,MIIP,5.3623e-11,0.368484961215652
LUAD,943,TNFRSF8,0.36558,-0.690640578615693
LUAD,7133,TNFRSF1B,2.1904e-08,-0.572817342607833
LUAD,100616438,MIR4632,0.3585,0.0
LUAD,55187,VPS13D,1.5028e-05,-0.691397913173598
LUAD,677885,SNORA59A,1.1382e-10,0.575312330687437
LUAD,9249,DHRS3,0.00091383,-0.45983777897281
LUAD,102466722,MIR6730,0.0013318,0.0
LUAD,93190,C1orf158,0.00064344,-0.899175630480513
LUAD,10630,PDPN,0.00052004,-1.62054693576854
LUAD,7799,PRDM2,0.17433,-0.236001392890202
LUAD,23254,KAZN,7.8876e-17,-1.54665721161606
LUAD,200197,TMEM51-AS1,1e-20,0.0
LUAD,55092,TMEM51,1e-20,0.6000037300325
LUAD,114827,FHAD1,0.0043193,-0.887590219459272
LUAD,79180,EFHD2,0.0053753,0.0365472327137711
LUAD,11330,CTRC,0.26579,0.0
LUAD,63036,CELA2A,0.15595,0.0
LUAD,51032,CELA2B,0.0039221,0.0
LUAD,842,CASP9,0.0052277,-0.0330832173173535
LUAD,23341,DNAJC16,1.9913e-08,0.221157765684809
LUAD,79814,AGMAT,1e-20,1.29278174922785
LUAD,84301,DDI2,1.1805e-11,0.287542007093062
