"ncbi_gene_id","LUAD_fdr_adjusted_p_value","LUAD_cancer_sample_med","LUAD_normal_sample_med","LUAD_log2_fold_change","LUAD_p_value","gene_symbol"
204962,1e-20,5.239,1,2.38929146200697,5.48805712878601e-20,"SLC44A5"
256435,2.4486e-17,1,4.734,-2.24305970607253,1.10491897550111e-16,"ST6GALNAC3"
81849,1e-20,2.928,17.874,-2.60987507068664,5.48805712878601e-20,"ST6GALNAC5"
91624,1.0525e-13,8.212,25.095,-1.61159441353827,3.82472974074678e-13,"NEXN"
54810,7.7173e-18,1.006,6.807,-2.75838880458797,3.5847324947895e-17,"GIPC2"
149047,3.1951e-15,1,6.399,-2.67784646639964,1.27432343772369e-14,"AC096531.2"
23266,1.5505e-14,10.489,41.776,-1.99379722191308,5.93337800480769e-14,"ADGRL2"
79739,2.3364e-11,1.162,5.16,-2.15076099690609,7.30928506457047e-11,"TTLL7"
7049,1.9393e-19,4.482,38.778,-3.1130238434887,9.91766385956861e-19,"TGFBR3"
253152,1e-20,5.227,1,2.38598315929781,5.48805712878601e-20,"EPHX4"
54873,2.4898e-17,10.142,51.181,-2.3352661562335,1.12282825981384e-16,"PALMD"
1901,1.933e-20,19.188,140.35,-2.87075281408576,1.04387620547613e-19,"S1PR1"
1301,1e-20,7.493,1,2.90554345147192,5.48805712878601e-20,"COL11A1"
22854,1.7139e-11,1,3.634,-1.86155841957203,5.40431370967742e-11,"NTNG1"
2949,7.3048e-19,3.832,23.77,-2.63297243709362,3.61541367088608e-18,"GSTM5"
128346,3.1396e-18,55.342,185.243,-1.74297233926834,1.49067458883681e-17,"C1orf162"
55924,1e-20,2.576,8.29,-1.6862395082685,5.48805712878601e-20,"INKA2"
440603,1e-20,6.25,1,2.64385618977472,5.48805712878601e-20,"BCL2L15"
6913,1e-20,3.516,1,1.81393507048132,5.48805712878601e-20,"TBX15"
2702,1.8077e-11,13.492,42.245,-1.64667637468186,5.69042512711864e-11,"GJA5"
54507,2.0131e-18,9.765,43.433,-2.15309965670191,9.67981870550162e-18,"ADAMTSL4"
8991,1e-20,201.796,621.884,-1.62374792196835,5.48805712878601e-20,"SELENBP1"
284486,1e-20,11.472,3.992,1.52293330336464,5.48805712878601e-20,"THEM5"
6275,4.0499e-15,512.124,1573.8,-1.61968713769722,1.60662373264507e-14,"S100A4"
6274,1.2564e-11,4.074,26.696,-2.71210570621643,4.00706737263881e-11,"S100A3"
4881,1e-20,5.514,47.798,-3.11577908067316,5.48805712878601e-20,"NPR1"
1163,1e-20,71.552,24.156,1.56661051520069,5.48805712878601e-20,"CKS1B"
1945,1e-20,35.177,7.696,2.19245174647804,5.48805712878601e-20,"EFNA4"
1944,1e-20,4.382,1,2.13158948432814,5.48805712878601e-20,"EFNA3"
55974,1e-20,203.413,60.611,1.7467603335129,5.48805712878601e-20,"SLC50A1"
