Cancer type,NCBI gene id,Gene symbol,FDR adjusted p-value,log2 fold change
KIRC,57085,AGTRAP,0.10618,0.0838871861741147
KIRC,4524,MTHFR,0.11114,0.0487823730862797
KIRC,1185,CLCN6,0.0045198,-0.0329884119539105
KIRC,4878,NPPA,5.3471e-06,0.0
KIRC,4879,NPPB,0.07863,0.0
KIRC,90231,KIAA2013,2.2765e-06,-0.107838454301723
KIRC,5351,PLOD1,1e-20,1.12352168658743
KIRC,9927,MFN2,1e-20,-0.929401905555251
KIRC,60672,MIIP,4.3835e-11,0.20407594811232
KIRC,943,TNFRSF8,0.74931,0.0
KIRC,7133,TNFRSF1B,1e-20,1.34193118177647
KIRC,100616438,MIR4632,8.2196e-06,0.0
KIRC,55187,VPS13D,1e-20,-1.30464608452092
KIRC,677885,SNORA59A,0.0012036,0.0285691521967709
KIRC,9249,DHRS3,0.0037092,0.162829917913359
KIRC,102466722,MIR6730,1e-20,0.38404980679516
KIRC,93190,C1orf158,0.31776,0.0
KIRC,10630,PDPN,0.13643,-1.59537911666649
KIRC,7799,PRDM2,1.3994e-13,-0.631056897618802
KIRC,23254,KAZN,3.3285e-19,-1.13267732609856
KIRC,200197,TMEM51-AS1,8.87e-12,0.147786024173064
KIRC,55092,TMEM51,2.2286e-08,-0.393787972081471
KIRC,114827,FHAD1,0.15186,0.0
KIRC,79180,EFHD2,1e-20,1.2403589678659
KIRC,11330,CTRC,0.38051,0.0
KIRC,63036,CELA2A,0.56614,0.0
KIRC,51032,CELA2B,0.1131,0.0
KIRC,842,CASP9,2.0037e-16,-0.730308747691475
KIRC,23341,DNAJC16,1.7998e-14,-0.814225772436722
KIRC,79814,AGMAT,2.0767e-09,-2.04041577308718
KIRC,84301,DDI2,0.18029,-0.133468374616235
KIRC,23207,PLEKHM2,1.0198e-17,0.298980652523226
KIRC,284723,SLC25A34,0.00081753,-0.608421473545145
KIRC,388595,TMEM82,8.1061e-07,-2.10339350667349
KIRC,54751,FBLIM1,0.15031,-0.28248108046722
KIRC,440567,UQCRHL,1.2421e-08,-0.615577393031135
KIRC,729614,AL450998.2,5.3038e-11,-0.604249801622574
KIRC,23013,SPEN,0.036816,-0.228158359327084
KIRC,7709,ZBTB17,2.6042e-17,0.26277231208416
KIRC,149563,SRARP,0.00070008,0.0
KIRC,27129,HSPB7,8.7392e-10,-3.77719868327408
