"cancer_type","ncbi_gene_id","fdr_adjusted_p_value","cancer_sample_med","normal_sample_med","log2_fold_change","p_value","gene_symbol"
"KIRC",117583,1e-20,5.931,19.525,-1.71897527146634,5.66341093670886e-20,"PARD3B"
"KIRC",8828,1e-20,31.946,9.314,1.77816251349664,5.66341093670886e-20,"NRP2"
"KIRC",2066,1e-20,1,17.072,-4.09356017616234,5.66341093670886e-20,"ERBB4"
"KIRC",3485,1e-20,34.763,283.776,-3.02912808515739,5.66341093670886e-20,"IGFBP2"
"KIRC",375307,1e-20,1.689,4.944,-1.54950941510299,5.66341093670886e-20,"CATIP"
"KIRC",6556,1e-20,7.374,2.006,1.87812581048164,5.66341093670886e-20,"SLC11A1"
"KIRC",6508,7.9552e-11,1,5.544,-2.47092725747513,2.3581975241882e-10,"SLC4A3"
"KIRC",23704,1e-20,33.077,7.396,2.1610112618071,5.66341093670886e-20,"KCNE4"
"KIRC",7857,6.4185e-11,2.887,1,1.52957110757389,1.91714971955128e-10,"SCG2"
"KIRC",3667,1.0609e-17,4.795,15.407,-1.68398325204367,4.89138103483818e-17,"IRS1"
"KIRC",1286,1e-20,5.653,33.347,-2.56046837580162,5.66341093670886e-20,"COL4A4"
"KIRC",1285,9.7093e-20,4.708,23.148,-2.29770132373182,5.14227335543452e-19,"COL4A3"
"KIRC",6364,8.4916e-12,21.244,3.763,2.49710024002494,2.68442580353357e-11,"CCL20"
"KIRC",92737,1e-20,1,32.969,-5.04303822342068,5.66341093670886e-20,"DNER"
"KIRC",11262,1e-20,3.058,1,1.61258840669872,5.66341093670886e-20,"SP140"
"KIRC",81618,6.7196e-19,147.596,467.961,-1.66473467677036,3.35395165364874e-18,"ITM2C"
"KIRC",80303,1e-20,61.42,524.875,-3.09519346563387,5.66341093670886e-20,"EFHD1"
"KIRC",3635,1e-20,28.24,9.318,1.59964785305009,5.66341093670886e-20,"INPP5D"
"KIRC",8527,1e-20,21.373,5.392,1.98689702304078,5.66341093670886e-20,"DGKD"
"KIRC",10123,1e-20,47.217,15.562,1.601278895986,5.66341093670886e-20,"ARL4C"
"KIRC",57007,1e-20,110.041,23.947,2.20012431896045,5.66341093670886e-20,"ACKR3"
"KIRC",5133,1e-20,3.088,1,1.62667275260599,5.66341093670886e-20,"PDCD1"
"KIRC",101927174,2.5532e-18,1,3.34,-1.73984810269933,1.22437545454545e-17,"CHL1-AS2"
"KIRC",10752,1e-20,1,27.316,-4.77167433390837,5.66341093670886e-20,"CHL1"
"KIRC",9901,7.8059e-17,1.311,8.363,-2.67335287740894,3.40790082764005e-16,"SRGAP3"
"KIRC",26140,1e-20,8.201,2.659,1.62491606022768,5.66341093670886e-20,"TTLL3"
"KIRC",132014,1.7087e-20,3.123,13.442,-2.10574333443545,9.4948532173913e-20,"IL17RE"
"KIRC",285368,1e-20,1.571,4.992,-1.66793475356805,5.66341093670886e-20,"PRRT3"
"KIRC",491,1e-20,3.137,1,1.64938552918152,5.66341093670886e-20,"ATP2B2"
"KIRC",6529,1e-20,5.238,1.265,2.04987867476892,5.66341093670886e-20,"SLC6A1"
"KIRC",23066,1e-20,1.366,6.652,-2.28383068499718,5.66341093670886e-20,"CAND2"
"KIRC",92106,1e-20,5.314,16.348,-1.62124401553015,5.66341093670886e-20,"OXNAD1"
"KIRC",79750,5.6405e-12,1,2.966,-1.56851859779254,1.80428236556064e-11,"ZNF385D"
"KIRC",7068,1e-20,4.148,21.994,-2.40662220853857,5.66341093670886e-20,"THRB"
"KIRC",8320,1e-20,3.907,1,1.96606125552159,5.66341093670886e-20,"EOMES"
"KIRC",23171,1e-20,15.633,72.402,-2.21143488960894,5.66341093670886e-20,"GPD1L"
"KIRC",10217,1e-20,32.499,92.604,-1.51067918473827,5.66341093670886e-20,"CTDSPL"
"KIRC",285266,1e-20,3.749,11.019,-1.55541557116472,5.66341093670886e-20,"ENTPD3-AS1"
"KIRC",956,2.3418e-11,1,3.356,-1.74674271577774,7.17784004385364e-11,"ENTPD3"
"KIRC",100874114,1.0441e-16,1,3.844,-1.94260833611166,4.52389395583107e-16,"CCDC13-AS1"
"KIRC",25994,1e-20,18.498,72.668,-1.97395090511531,5.66341093670886e-20,"HIGD1A"
