Cancer type,NCBI gene id,Gene symbol,FDR adjusted p-value,log2 fold change
BRCA,100616188,MIR3972,0.0082867,0.0
BRCA,23569,PADI4,0.55425,0.0
BRCA,55920,RCC2,1e-20,0.75534332716276
BRCA,55160,ARHGEF10L,0.00054473,-0.34628520733339
BRCA,81569,ACTL8,5.3387e-10,0.0
BRCA,84966,IGSF21,1.2963e-08,-0.572144577871872
BRCA,127707,KLHDC7A,7.6022e-05,-1.16906682412942
BRCA,5081,PAX7,1.1796e-11,0.0
BRCA,8659,ALDH4A1,5.5358e-12,-0.896921545840052
BRCA,126917,IFFO2,3.9265000000000003e-19,-1.98462721211722
BRCA,23352,UBR4,9.3927e-07,-0.421392563611457
BRCA,101927895,EMC1-AS1,0.00093577,-0.486456955768731
BRCA,23065,EMC1,0.67302,-0.0827583830094626
BRCA,51154,MRTO4,2.2217e-17,0.220201833777952
BRCA,22977,AKR7A3,1e-20,1.63253793298758
BRCA,8574,AKR7A2,1.0664e-09,0.0880122003281962
BRCA,54896,PQLC2,1e-20,0.541661139039273
BRCA,832,CAPZB,1e-20,0.282076330304643
BRCA,440574,MICOS10,8.9034e-11,-0.5290206184076
BRCA,100532736,NBL1,2.5545e-06,0.0966595822975817
BRCA,3362,HTR6,5.093e-08,0.0
BRCA,255104,TMCO4,3.2759e-11,-0.459147904376552
BRCA,54546,RNF186,3.4524e-10,-0.366252263699564
BRCA,23252,OTUD3,9.7501e-20,-0.87025468232054
BRCA,5320,PLA2G2A,0.0014266,-3.20401998520954
BRCA,5322,PLA2G5,3.3695e-17,-1.87499363893297
BRCA,26279,PLA2G2D,0.00016604,0.147957881387101
BRCA,64600,PLA2G2F,0.0013778,0.0
BRCA,391013,PLA2G2C,1.0297e-10,0.0
BRCA,127733,UBXN10,3.4984e-08,0.0062168479325763
BRCA,127731,VWA5B1,0.29407,0.0
BRCA,55450,CAMK2N1,4.8945e-10,0.213280302144264
BRCA,79594,MUL1,1.0475e-14,-0.187500907265775
BRCA,163933,FAM43B,0.80468,0.0
BRCA,978,CDA,0.40576,0.0397097098019712
BRCA,65018,PINK1,1.3448e-18,-0.772451852688788
BRCA,100861548,PINK1-AS,3.4762e-08,-0.463751511033519
BRCA,1650,DDOST,1e-20,0.231766778509568
BRCA,57576,KIF17,1.9832e-18,-1.0962618530584
BRCA,400745,SH2D5,0.00022591,0.0
BRCA,50809,HP1BP3,1.2571e-15,-0.453612787670055
BRCA,8672,EIF4G3,0.075537,-0.0715419016709106
BRCA,100302155,MIR1256,0.0056868,0.0
BRCA,1889,ECE1,1e-20,-0.649236772686987
BRCA,84224,NBPF3,6.8427e-08,-0.495833918060264
BRCA,249,ALPL,2.1775e-19,-2.02812496028521
BRCA,5909,RAP1GAP,9.983e-13,0.303587396474666
BRCA,84196,USP48,4.7031e-08,-0.252757170541031
BRCA,401944,LDLRAD2,8.91e-16,-1.01863417413905
BRCA,3339,HSPG2,2.0114e-09,-0.704193930058599
BRCA,23436,CELA3B,0.27464,0.0
BRCA,10136,CELA3A,0.31752,0.0
BRCA,29092,LINC00339,0.13985,-0.466567799918926
BRCA,998,CDC42,6.9997e-06,0.102146231516903
BRCA,54361,WNT4,0.11219,-0.0169523815453177
BRCA,100616433,MIR4418,0.41184,0.0
BRCA,9923,ZBTB40,4.6192e-07,-0.362218739770343
BRCA,2046,EPHA8,1.4292e-10,0.0
BRCA,102466615,MIR6127,0.29324,0.0
BRCA,712,C1QA,0.11016,-0.417606297629321
BRCA,714,C1QC,0.59972,-0.0524690641100313
BRCA,713,C1QB,0.52472,-0.226039566980096
BRCA,2048,EPHB2,1e-20,0.915257799758765
BRCA,100422914,MIR4253,0.7184,0.0
BRCA,729059,TEX46,0.00035505,0.0
BRCA,23028,KDM1A,1.1587e-16,0.190650187025598
BRCA,100422866,MIR3115,0.001017,0.0
BRCA,7798,LUZP1,1e-20,-0.922028722939046
BRCA,3352,HTR1D,4.9632e-20,0.0
BRCA,10236,HNRNPR,2.5058e-06,0.141703372546063
BRCA,80818,ZNF436,2.9374000000000004e-19,-0.601105821961176
BRCA,148898,ZNF436-AS1,7.2553e-12,-1.05836416251399
BRCA,6920,TCEA3,2.5654e-19,0.764438120280951
BRCA,55616,ASAP3,0.067495,-0.178548357013123
BRCA,1870,E2F2,1e-20,1.9741621677966
BRCA,3399,ID3,1.5084e-06,-0.680137875718783
BRCA,6135,RPL11,1e-20,-0.696817399660927
BRCA,100506963,ELOA-AS1,0.11382,-0.270994795041223
BRCA,6924,ELOA,3.8677e-05,-0.19512521443232
BRCA,57095,PITHD1,4.1492e-08,-0.153980682307091
BRCA,11313,LYPLA2,1e-20,0.694120933834715
BRCA,2582,GALE,1e-20,1.29364919269389
BRCA,3155,HMGCL,0.38894,-0.0333369859624411
BRCA,2517,FUCA1,0.2046,0.0558295457646197
BRCA,1269,CNR2,0.23536,0.0
BRCA,55629,PNRC2,0.00040822,-0.186505225141438
BRCA,10772,SRSF10,0.54615,-0.0417854866029384
BRCA,127294,MYOM3,0.14925,-0.832687516439532
BRCA,58985,IL22RA1,4.8597e-12,-1.11769504266975
BRCA,163702,IFNLR1,1.4001e-12,-1.03893320453821
BRCA,57822,GRHL3,1e-20,0.493422899390125
BRCA,90529,STPG1,1.8713e-05,-0.18470944164742
BRCA,57185,NIPAL3,1.751e-08,-0.593424798781399
BRCA,100750325,RCAN3AS,1.064e-17,0.0
BRCA,11123,RCAN3,0.27599,-0.0942765496135941
BRCA,400746,NCMAP,1.6045e-08,-2.88927883370554
BRCA,10250,SRRM1,2.4573e-07,-0.281134063178462
BRCA,25932,CLIC4,2.1872e-13,-0.64852241461466
BRCA,864,RUNX3,0.18396,-0.743719947348151
BRCA,102465437,MIR6731,0.037784,0.0
BRCA,25949,SYF2,1e-20,-0.368479428890764
BRCA,57035,RSRP1,2.9937e-05,-0.451412524330559
BRCA,6007,RHD,0.00014941,0.0
BRCA,23585,TMEM50A,0.13,0.0210543126444675
BRCA,6006,RHCE,1e-20,0.794103898559748
BRCA,55219,MACO1,1e-20,0.46413498994939
BRCA,26119,LDLRAP1,0.0025783,0.0466937037321414
BRCA,57134,MAN1C1,0.00045267,-0.588749939782808
BRCA,57190,SELENON,0.3862,0.0328646339056267
BRCA,56181,MTFR1L,1e-20,-0.58918339017327
BRCA,79000,AUNIP,1e-20,1.80707862309269
BRCA,164091,PAQR7,0.8904,-0.135796380075183
BRCA,3925,STMN1,1e-20,1.34775161466346
BRCA,5051,PAFAH2,6.2396e-07,0.150701810773265
BRCA,2134,EXTL1,0.04467,-0.716910431374213
BRCA,7780,SLC30A2,4.2999e-13,0.0
BRCA,84676,TRIM63,0.3235,0.0
BRCA,149420,PDIK1L,1.708e-14,0.431956000814182
BRCA,79927,FAM110D,1e-20,-2.6689166734927
BRCA,10256,CNKSR1,1.0306e-13,0.452526922996647
BRCA,64793,CEP85,1e-20,0.779950694968041
BRCA,83442,SH3BGRL3,9.3877e-10,0.492872175370674
BRCA,91544,UBXN11,1.2655e-16,0.261585189196724
BRCA,1043,CD52,0.092255,0.241622735980481
BRCA,55057,CRYBG2,1e-20,0.0772429989324604
BRCA,257101,ZNF683,0.018757,-0.426592577852357
BRCA,79947,DHDDS,1.2664e-13,-0.561957177713702
BRCA,3151,HMGN2,1e-20,0.348996752440636
BRCA,6195,RPS6KA1,8.9833e-20,0.448108837806264
BRCA,8289,ARID1A,1.6037e-05,0.133911509160864
BRCA,55650,PIGV,4.2172e-12,-0.353087274434301
BRCA,84243,ZDHHC18,0.64133,-0.0152229644973798
BRCA,2810,SFN,3.0071e-07,0.268970712332417
BRCA,54707,GPN2,2.4362e-07,-0.166997982928497
BRCA,63906,GPATCH3,0.098078,-0.121545932666905
BRCA,10726,NUDC,1.2365e-16,0.323148063784461
BRCA,8431,NR0B2,0.36825,0.0
BRCA,126695,KDF1,6.5964e-12,0.558563471067833
BRCA,388610,TRNP1,2.4329e-18,-1.54022111615029
BRCA,115572,TENT5B,1.212e-08,-1.04828047326746
BRCA,6548,SLC9A1,1.1071e-08,0.13780907357843
BRCA,23038,WDTC1,1e-20,-0.543390350870039
BRCA,84065,TMEM222,0.029508,-0.0045330471735122
BRCA,84958,SYTL1,3.9068e-06,0.142777015605049
BRCA,9064,MAP3K6,5.9412e-17,-0.599406474160426
BRCA,8547,FCN3,7.898e-09,-0.82515011140713
BRCA,388611,CD164L2,2.8665e-14,-2.01482741767764
BRCA,2827,GPR3,0.11401,-0.228972569760161
BRCA,10163,WASF2,1e-20,-0.910043950544451
BRCA,27245,AHDC1,9.1601e-10,-0.550205792356942
BRCA,2268,FGR,0.00028926,-0.540763274310097
BRCA,111216282,LINC02574,1.951e-09,0.0
BRCA,2537,IFI6,1e-20,2.17786790218279
BRCA,199870,FAM76A,1e-20,-0.555645400449883
BRCA,23673,STX12,1e-20,-0.739747436373636
BRCA,5511,PPP1R8,0.74876,0.0043477103013051
BRCA,677774,SCARNA1,1.0384e-05,0.0
BRCA,9473,THEMIS2,0.54979,-0.196309111211046
BRCA,6118,RPA2,0.2485,-0.0390374298585543
BRCA,27293,SMPDL3B,1.7491e-20,0.642969663364331
