Cancer type,NCBI gene id,Gene symbol,FDR adjusted p-value,log2 fold change
COAD,107397391,SCARNA21B,0.010027,0.0
COAD,79814,AGMAT,2.7302e-12,0.585468177221562
COAD,84301,DDI2,1.6879e-16,0.45763540638642
COAD,23207,PLEKHM2,0.041998,-0.188138113847469
COAD,284723,SLC25A34,1.7845e-14,-3.61753358347542
COAD,388595,TMEM82,2.138e-15,-4.52323763518964
COAD,54751,FBLIM1,7.5112e-20,-1.23978099574492
COAD,440567,UQCRHL,0.23147,-0.0755003452117613
COAD,729614,AL450998.2,9.017e-05,-0.476454766479611
COAD,23013,SPEN,0.14686,0.032023836891309
COAD,7709,ZBTB17,0.73211,0.068850510773081
COAD,27129,HSPB7,0.0033912,-2.68358571137347
COAD,1187,CLCNKA,0.5302,0.0
COAD,1188,CLCNKB,0.16276,0.0
COAD,348487,FAM131C,1.5772e-10,0.0
COAD,1969,EPHA2,2.6809e-05,0.942710873811338
COAD,128272,ARHGEF19,1e-20,1.17756843675612
COAD,79363,CPLANE2,0.083181,-0.0999624432747451
COAD,54455,FBXO42,0.79864,-0.0212923075376509
COAD,26099,SZRD1,5.702e-07,-0.106961221184588
COAD,374955,SPATA21,0.033193,0.0
COAD,55707,NECAP2,0.010004,-0.193659958636183
COAD,107984921,LINC01772,1.4307e-05,0.0
COAD,26871,RNU1-1,0.0010343,0.0
COAD,55672,NBPF1,9.253e-14,-1.46374785542191
COAD,26869,RNU1-3,0.043256,0.0
COAD,9696,CROCC,2.5436e-12,0.749855105924082
COAD,6060,RNU1-4,0.027791,0.0
COAD,112267871,BX284668.2,0.066402,0.0
COAD,26870,RNU1-2,0.021018,0.0
COAD,4237,MFAP2,1e-20,2.27713151177897
COAD,23400,ATP13A2,9.6737e-06,0.193863131572636
COAD,6390,SDHB,2.4832e-17,-0.603678816846942
COAD,11240,PADI2,2.2703e-16,-4.19844559750469
COAD,400743,AL590644.1,0.10881,0.0
COAD,29943,PADI1,0.00062975,0.0
COAD,51702,PADI3,3.1816e-05,0.0
COAD,100616188,MIR3972,0.0014498,0.0
COAD,23569,PADI4,0.87687,0.0
