"","X","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"31","GO:0051239","GO:0051239","regulation of multicellular organismal process",313,-0.236403422271368,-1.65078444458086,0.000909414493724689,0.00692328453287183,0.00500255171420712,436,"tags=40%, list=32%, signal=35%","6387/1634/56603/130733/225/407019/2180/64321/57502/6886/26051/58494/54997/1901/4921/2246/146433/2152/5627/7035/7048/7538/2824/287/5997/654/5803/5187/10391/5063/9365/358/163175/2202/1910/3164/54674/9510/1959/9590/9314/51129/1960/3909/158376/301/3205/140862/650/56920/10826/10253/2690/216/223117/7704/1620/33/284/5140/91584/4804/10218/7122/5168/3202/154/5468/4223/6376/32/554/443/3400/3953/84913/338442/1215/9104/2353/1958/857/7049/11096/4881/130399/3872/2662/2532/2047/1908/130497/57678/27190/2247/6869/90865/1264/1756/8626/5764/3815/5166/55273/338328/4311/4915/153579/50486/406937/6288/27129/126393/6422/4023/30819/6663/2277/5021/221476/5950/2167/9370/3952"
"27","GO:1901698","GO:1901698","response to nitrogen compound",121,-0.30020379484853,-1.86821504921536,0.000748706368378805,0.00654424825694067,0.00472867180028719,341,"tags=38%, list=25%, signal=31%","5187/9365/358/1910/3164/2774/1959/158376/301/55022/64805/2690/1288/858/5140/4804/154/5207/5468/10580/2353/1958/857/7049/28999/6517/5138/130399/6869/27065/1036/2348/5166/338328/4915/1066/406937/2354/6422/7079/4023/5021/2819/9370/286753/3952"
"26","GO:0003008","GO:0003008","system process",210,-0.260547210445943,-1.75609730313379,0.000683418605730239,0.0062033381135514,0.00448234065296756,378,"tags=38%, list=28%, signal=32%","6769/1827/83988/111/287/5997/2934/654/5803/10391/206338/9365/358/2202/1910/3164/2774/5243/1959/9590/4638/8644/149461/1511/10253/25802/6581/3512/1620/9194/284/7122/3202/154/6649/5468/554/3953/338442/1215/2353/3779/857/79987/5959/28999/6517/4881/5138/2047/1908/6869/90865/1264/2564/1756/5764/3815/10752/2348/55273/1410/4629/4311/4915/1645/23336/6285/406937/27129/30819/6663/342667/5284/5021/221476/5950/9370/3952"
"25","GO:0010243","GO:0010243","response to organonitrogen compound",119,-0.306878417115741,-1.9086984118813,0.000515224112487384,0.00486371562188091,0.003514370788335,341,"tags=39%, list=25%, signal=32%","5187/9365/358/1910/3164/2774/1959/158376/301/55022/64805/2690/1288/858/5140/4804/154/5207/5468/10580/2353/1958/857/7049/28999/6517/5138/130399/6869/27065/1036/2348/5166/338328/4915/1066/406937/2354/6422/7079/4023/5021/2819/9370/286753/3952"
"24","GO:0010628","GO:0010628","positive regulation of gene expression",104,-0.319845843291429,-1.93131357021912,0.000380528043978501,0.00374185909912193,0.00270375189142619,434,"tags=48%, list=32%, signal=35%","56603/407019/64321/54997/2246/146433/2152/7538/287/2934/654/27303/5737/9590/9314/467/301/650/149461/55022/10253/5317/3084/284/7122/3202/5468/6376/554/3400/1958/857/5138/3872/8854/130497/27190/2247/90865/7123/3815/4915/72/406937/6288/4023/6663/5950/9370/3952"
"23","GO:0009628","GO:0009628","response to abiotic stimulus",114,-0.319197224562054,-1.96856427617773,0.000267615596359028,0.00274596872785785,0.00198415224760469,352,"tags=41%, list=26%, signal=33%","2934/654/5187/358/3164/5243/9481/9590/51129/301/4638/650/64344/2690/4239/4804/154/6649/5468/2353/1958/3779/857/7049/6517/5138/2047/2247/6869/90865/1756/5764/3815/1410/4311/3852/406937/126393/2354/6422/4023/2277/5021/286133/5346/9370/3952"
"21","GO:0042592","GO:0042592","homeostatic process",175,-0.294571798979674,-1.95111084736625,0.000161281320092677,0.00180110515450214,0.00130142299299441,231,"tags=30%, list=17%, signal=28%","3512/216/84649/4499/858/33/284/4804/57158/6358/7122/3202/794/154/5468/6376/32/554/3953/338442/1215/9104/1958/857/7049/11096/28999/6517/4881/6366/1908/51085/57678/2247/6869/1756/8626/3815/5166/338328/2327/1066/1645/50486/4023/5284/5021/286133/5950/2167/9370/3952"
"22","GO:0009719","GO:0009719","response to endogenous stimulus",194,-0.279669518055443,-1.86826525473227,0.000167899633046809,0.00180110515450214,0.00130142299299441,399,"tags=40%, list=30%, signal=33%","4921/2770/2246/7035/7048/117581/111/7538/56963/654/5187/9365/358/1910/3164/2774/5737/1959/1960/158376/4306/301/6586/650/8644/55022/64805/10253/2690/1288/858/5140/4804/7122/154/5207/5468/10580/3953/2353/1958/152831/857/7049/28999/6517/6366/5138/130399/2662/2247/6869/27065/1036/8626/7123/2719/3815/2348/5166/55273/4311/4915/1066/1645/406937/2354/6422/7079/1646/4023/6663/91851/5021/2819/9370/286753/3952"
"20","GO:0009605","GO:0009605","response to external stimulus",269,-0.263551005276917,-1.82965074399831,0.000131950609147356,0.0015570171879388,0.00112505256220377,546,"tags=52%, list=40%, signal=39%","7010/59/54538/5071/79148/23235/3908/80352/5648/133/51554/3491/79812/10060/4916/2051/11343/220/10628/2252/5740/3479/3373/64221/4129/5649/1373/4781/947/3918/6622/84659/23768/80310/6387/56603/225/2180/3745/57088/4360/1901/4921/2246/1843/146433/2152/5627/7035/7048/91653/7538/56963/2934/6403/654/5187/5063/9365/358/1910/3164/5737/55026/1959/9590/9314/467/1960/3909/158376/4684/301/6586/650/56920/8644/149461/30835/64805/1511/2690/6581/3512/223117/3084/4239/284/91584/4804/6358/5168/154/5207/5468/59352/6376/32/23650/730/440738/1215/2353/857/11096/1776/6366/5138/130399/2047/1908/8854/57678/56477/2247/6869/90865/1675/7069/5288/1756/5764/2719/3815/10752/2348/5166/22915/3852/2920/406937/6288/2354/6422/7079/4023/2277/2167/9370/3952"
"19","GO:0009725","GO:0009725","response to hormone",112,-0.343386721983274,-2.10161242414924,3.80339207365214e-05,0.000472421331253634,0.000341357072538308,399,"tags=46%, list=30%, signal=36%","4921/2770/7035/7048/117581/7538/654/5187/9365/358/1910/3164/5737/1959/4306/301/6586/8644/55022/2690/858/5140/5207/5468/10580/3953/2353/1958/857/7049/28999/6517/6366/130399/6869/1036/8626/3815/5166/4311/1645/406937/2354/6422/7079/1646/4023/6663/5021/9370/286753/3952"
