cancer_type,ncbi_gene_id,gene_symbol,fdr_adjusted_p_value,log2_fold_change
KIRC,9168,TMSB10,1e-20,2.08763669899306
KIRC,10578,GNLY,1e-20,3.15580060151146
KIRC,925,CD8A,1e-20,3.06930478785825
KIRC,926,CD8B,1e-20,2.67762099245359
KIRC,112597,CYTOR,1e-20,1.5680287116358
KIRC,4118,MAL,1e-20,-5.02114393059594
KIRC,150696,PROM2,1e-20,-6.76067707228905
KIRC,150771,ITPRIPL1,1e-20,1.66129355585531
KIRC,151313,FAHD2B,1e-20,-1.63956077550512
KIRC,728537,C2orf92,1e-20,1.53488693723509
KIRC,7535,ZAP70,1e-20,2.92542982124374
KIRC,150590,C2orf15,1e-20,-2.13163108162028
KIRC,164832,LONRF2,1.0639e-17,-2.04229412620617
KIRC,389015,SLC9A4,1e-20,-5.24713001422327
KIRC,6549,SLC9A2,1e-20,-3.78010008447995
KIRC,102682016,LINC01159,7.3019e-16,-2.7944037306757
KIRC,84417,C2orf40,1.2849e-11,-2.80295959622947
KIRC,105373537,LINC01886,1e-20,1.57385922157595
KIRC,7851,MALL,5.397e-11,1.74721309061062
KIRC,541471,MIR4435-2HG,1e-20,1.89668399548407
KIRC,129804,FBLN7,1e-20,1.55800566721649
KIRC,200373,CFAP221,1e-20,-1.71917761784459
KIRC,57669,EPB41L5,1e-20,-2.12169821717627
KIRC,3625,INHBB,1e-20,3.96505430580214
KIRC,29842,TFCP2L1,1e-20,-6.62021834116857
KIRC,9394,HS6ST1,4.431e-15,-2.03563610765803
KIRC,7852,CXCR4,1e-20,3.14740749954805
KIRC,55843,ARHGAP15,1e-20,1.82047003050245
KIRC,130576,LYPD6B,1.5234e-14,-4.39718687894321
KIRC,130574,LYPD6,3.765e-19,-2.17536491377543
KIRC,7130,TNFAIP6,1e-20,6.25132144468793
KIRC,22925,PLA2R1,7.4354e-12,-2.88238563209987
KIRC,2888,GRB14,1e-20,-2.51311754132846
KIRC,22837,COBLL1,1e-20,-2.78033858432135
KIRC,6326,SCN2A,1e-20,-2.15445359267987
KIRC,80034,CSRNP3,1.4391e-18,-1.76259741082441
KIRC,2591,GALNT3,1.7269e-18,-3.33333998027587
KIRC,57405,SPC25,4.985e-18,1.93734439215023
KIRC,140469,MYO3B,1e-20,-4.36148765214307
KIRC,101929947,ITGA6-AS1,1e-20,2.38072944850355
KIRC,5163,PDK1,1e-20,1.92422934594681
KIRC,83879,CDCA7,3.6286e-13,1.57821416547245
KIRC,151556,GPR155,4.3699e-16,-1.58546521946016
