cancer_type,ncbi_gene_id,gene_symbol,fdr_adjusted_p_value,log2_fold_change
COAD,80235,PIGZ,1.1343e-11,-2.11506475583586
COAD,100507057,MELTF-AS1,1e-20,1.70398660386343
COAD,53834,FGFRL1,1e-20,1.67442631164561
COAD,55646,LYAR,1e-20,1.61807372159127
COAD,27065,NSG1,6.1464e-15,-1.71838757641029
COAD,4487,MSX1,1.2649e-18,2.40381306161659
COAD,6286,S100P,1e-20,2.98431081067517
COAD,64151,NCAPG,1e-20,1.54459192908152
COAD,10891,PPARGC1A,5.9773e-15,-1.87606310083559
COAD,55286,C4orf19,4.138e-17,-1.63169500546547
COAD,768211,RELL1,7.598e-12,-1.57206360378051
COAD,7358,UGDH,3.2177e-15,-1.85130752480806
COAD,201895,SMIM14,4.7796e-20,-1.77505062465193
COAD,80157,CWH43,2.1093e-16,-5.6256796236285
COAD,3815,KIT,3.9121e-12,-2.28067334263985
COAD,10874,NMU,1e-20,1.79370155478385
COAD,5471,PPAT,1e-20,1.76396314298252
COAD,79799,UGT2A3,7.4632e-17,-5.34033091439531
COAD,27284,SULT1B1,1.7107e-18,-3.03886056056897
COAD,3512,JCHAIN,5.1666e-12,-5.64533847834412
COAD,8671,SLC4A4,8.7289e-18,-5.88484584037487
COAD,2919,CXCL1,1e-20,3.02007169030196
COAD,2921,CXCL3,1e-20,2.99888408267669
COAD,2920,CXCL2,1e-20,2.09752327395871
COAD,2069,EREG,1e-20,2.92787003842765
COAD,374,AREG,1e-20,2.02545631462823
COAD,25849,PARM1,1.6191e-14,-1.58069968325779
COAD,27163,NAAA,5.8267e-15,-2.30062315224929
COAD,6373,CXCL11,5.1415e-12,3.42105105736498
COAD,8987,STBD1,7.3969e-15,-1.79492985875846
COAD,651,BMP3,1.0271e-14,-4.80415684099774
COAD,51316,PLAC8,2.1092e-13,-3.3568187245601
COAD,84803,GPAT3,1.3242e-18,-2.6337825880382
COAD,6696,SPP1,2.872e-19,3.19059683800736
COAD,27306,HPGDS,1.6412e-13,-2.63180275492413
COAD,8633,UNC5C,6.4669e-13,-1.73941609340103
COAD,10098,TSPAN5,1e-20,1.54142510561494
COAD,130,ADH6,1.0071e-13,-1.94440062028421
COAD,126,ADH1C,1.8752e-15,-5.73347242826151
COAD,1062,CENPE,1e-20,1.70801176877296
COAD,51176,LEF1,1e-20,2.16118588974183
COAD,4085,MAD2L1,1e-20,1.57838116739266
COAD,23657,SLC7A11,1e-20,2.48928602262588
COAD,1909,EDNRA,2.671e-17,1.84376878324972
COAD,4306,NR3C2,1e-20,-3.00085532464335
COAD,84057,MND1,1e-20,1.7027378151538
COAD,2110,ETFDH,1e-20,-1.78803490506551
COAD,3248,HPGD,5.6319e-16,-3.38932921626824
COAD,7098,TLR3,2.6056e-15,-1.94433858691984
COAD,55722,CEP72,1e-20,2.05120201303661
COAD,85409,NKD2,1e-20,3.88389700379477
COAD,134147,CMBL,1.0272e-16,-1.94995027491328
COAD,81792,ADAMTS12,1e-20,2.85798099512757
COAD,5734,PTGER4,6.6022e-16,-1.68978763867391
COAD,56477,CCL28,3.2753e-18,-2.85351111559601
COAD,375444,C5orf34,1e-20,1.63967461748199
COAD,3673,ITGA2,1e-20,1.72707639845826
COAD,11082,ESM1,1e-20,3.16285452819051
COAD,10309,CCNO,1e-20,3.07173250810263
COAD,8611,PLPP1,1e-20,-1.99249236504545
COAD,166968,MIER3,4.7714e-11,-1.86213907652477
COAD,105378992,LINC02057,4.0877e-12,-2.28273632027634
COAD,134285,TMEM171,9.196e-15,-2.44233208769401
COAD,8507,ENC1,1e-20,2.16151840090608
COAD,10788,IQGAP2,7.4907e-16,-1.55608853057884
COAD,2151,F2RL2,1e-20,1.56401162868687
COAD,9456,HOMER1,1e-20,2.40490312214513
COAD,1462,VCAN,2.2483e-15,1.55470295734787
COAD,1404,HAPLN1,1.0138e-12,-2.52907129982911
COAD,10085,EDIL3,3.137e-17,-2.00839592112106
COAD,4208,MEF2C,2.0073e-12,-1.70978766687797
COAD,10622,POLR3G,1e-20,1.79880484798407
COAD,55521,TRIM36,1.2376e-13,-1.54147952397224
COAD,6558,SLC12A2,1e-20,1.5054194832757
COAD,23305,ACSL6,1e-20,1.70310069960416
COAD,6584,SLC22A5,7.7183e-12,-1.98225023895886
COAD,6932,TCF7,1e-20,2.12016981042065
COAD,7045,TGFBI,1e-20,2.98304366377219
COAD,389332,SMIM32,9.2873e-17,-3.32433287346207
COAD,2908,NR3C1,1.3351e-14,-1.83692366416016
COAD,3360,HTR4,6.8116e-11,-2.44678556214312
COAD,154,ADRB2,1.6589e-13,-1.68526740651684
COAD,389337,ARHGEF37,2.6228e-16,-1.52750050878989
COAD,5145,PDE6A,3.4815e-12,-2.31846146516758
COAD,1836,SLC26A2,1.1959e-12,-5.54438682219358
COAD,11346,SYNPO,3.0075e-17,-1.72577414346169
COAD,206358,SLC36A1,2.5178e-11,-1.87892984524426
COAD,6678,SPARC,1e-20,1.52527476418078
COAD,100190949,C5orf52,2.4555e-11,-1.82474776133905
COAD,114898,C1QTNF2,7.1065e-13,-1.77910768162067
COAD,64901,RANBP17,2.6443e-20,1.66274232304986
COAD,54492,NEURL1B,5.2532e-14,-1.60814150645964
COAD,8614,STC2,1e-20,3.70232508687581
COAD,4488,MSX2,1e-20,3.68032435684402
COAD,80758,PRR7,1e-20,2.6130972569685
COAD,9509,ADAMTS2,1e-20,2.11403812000296
COAD,4056,LTC4S,2.2191e-13,-1.75935238900726
COAD,79908,BTNL8,3.5999e-11,-4.13101683984031
COAD,10917,BTNL3,5.0983e-15,-3.43135044102375
COAD,94234,FOXQ1,1e-20,5.71237567288067
COAD,63027,SLC22A23,6.709e-14,-1.74674815735345
COAD,654,BMP6,2.4974e-11,-2.4630992673481
COAD,2651,GCNT2,8.2764000000000005e-19,-3.73801116909572
COAD,84830,ADTRP,2.3031e-15,-4.45174401071923
COAD,6659,SOX4,1e-20,1.8360898592966
COAD,51567,TDP2,3.6447e-15,-1.86237227286784
COAD,10590,SCGN,6.5971e-13,-4.67570303981959
COAD,10050,SLC17A4,9.536e-12,-4.14612147236986
COAD,100507173,AL009179.1,1e-20,1.55571639768336
COAD,389376,SFTA2,1.9308e-13,2.34709867062227
COAD,80736,SLC44A4,3.5242e-19,-1.7500571901411
COAD,717,C2,1e-20,1.58973283243595
COAD,8705,B3GALT4,1e-20,-1.62129919072201
COAD,102465668,MIR7111,2.6918e-19,1.72683121703249
COAD,57699,CPNE5,1.43e-12,-2.22209873835693
COAD,23500,DAAM2,3.4409e-11,-1.89371342138358
COAD,4337,MOCS1,1.0262e-15,-1.90161463827503
COAD,222643,UNC5CL,3.2931e-18,2.37286726925873
COAD,54210,TREM1,4.122e-12,1.72508672463023
COAD,101060264,FOXP4-AS1,1e-20,2.19258485733556
COAD,4188,MDFI,1e-20,3.63761858106612
COAD,5754,PTK7,1e-20,1.76208308996239
COAD,221416,C6orf223,1e-20,3.91188328940579
COAD,2030,SLC29A1,8.5414e-11,1.56441334834419
COAD,53405,CLIC5,5.1086e-12,-2.08531846734579
COAD,10231,RCAN2,3.3794e-15,-2.0584543733221
COAD,9481,SLC25A27,4.9642e-20,1.69704600796554
COAD,85315,PAQR8,5.6341e-15,-1.79420686501585
COAD,27283,TINAG,3.4922e-14,-1.66932870638007
COAD,653,BMP5,1.7135e-14,-2.86572090042324
COAD,1303,COL12A1,1.235e-20,2.36208533171977
COAD,1300,COL10A1,1e-20,3.56766712731665
COAD,5570,PKIB,3.9303000000000004e-19,-4.78044927893521
COAD,10924,SMPDL3A,5.6326e-16,-2.89977486831699
COAD,594838,SNORD100,3.4397e-19,1.71318668076392
COAD,6943,TCF21,5.1963e-16,-2.43766099596608
COAD,113115,MTFR2,1e-20,1.55344344431482
COAD,10370,CITED2,1e-20,-1.8272729756402
COAD,134637,ADAT2,1e-20,1.58357462659691
COAD,79465,ULBP3,1e-20,2.0863803753347
COAD,25902,MTHFD1L,1e-20,2.55247389300636
COAD,6581,SLC22A3,1e-20,2.25376892028575
COAD,441178,LINC02487,1e-20,1.68257329734758
COAD,7058,THBS2,8.7981e-20,2.45913919691752
COAD,54905,CYP2W1,1.9905e-11,2.65475083087802
COAD,101927125,ELFN1-AS1,1e-20,4.28347734193776
COAD,85477,SCIN,8.4574e-12,-3.07796722750012
COAD,9734,HDAC9,2.6096e-12,-1.81221521314814
COAD,7291,TWIST1,1e-20,1.70528625974515
COAD,346389,MACC1,1e-20,2.50095786165819
COAD,26031,OSBPL3,1e-20,1.94864970355394
COAD,136895,C7orf31,2.5809e-16,-1.78088729250612
COAD,9603,NFE2L3,1e-20,2.70000852182073
COAD,23366,KIAA0895,1e-20,1.76866130926716
COAD,6424,SFRP4,5.2225e-18,2.87788748490618
COAD,79783,SUGCT,1.2204e-14,-2.37959269864406
COAD,3624,INHBA,5.3984e-17,3.95196072878113
COAD,285958,SNHG15,1e-20,1.8676543625052
COAD,222008,VSTM2A,1.1222e-12,-2.30888505741176
COAD,51085,MLXIPL,1e-20,3.27202637910336
COAD,6804,STX1A,1e-20,2.04923189530309
COAD,9569,GTF2IRD1,1e-20,2.26668085509037
COAD,7784,ZP3,1e-20,1.58295865024338
COAD,10875,FGL2,1.2914e-18,-2.75260222520711
COAD,154661,RUNDC3B,4.1671e-12,-2.27798474729977
COAD,6717,SRI,2.0706e-12,-1.71530376374002
COAD,563,AZGP1,1e-20,2.79762352853541
COAD,101752399,STAG3L5P-PVRIG2P-PILRB,1e-20,1.66538118317645
COAD,29990,PILRB,1.7149e-17,1.7784277365941
COAD,7036,TFR2,1e-20,1.87460026604958
COAD,105375430,SLC12A9-AS1,1e-20,1.92675101796936
COAD,54517,PUS7,1e-20,1.8713591504803
COAD,5577,PRKAR2B,1.5625e-14,-2.11503890812266
COAD,1811,SLC26A3,5.2832e-12,-6.83899815181195
COAD,4233,MET,1e-20,1.9010746810044
COAD,7472,WNT2,1e-20,2.27887686010211
COAD,154860,FEZF1-AS1,1e-20,1.6378420603241
COAD,3614,IMPDH1,1e-20,1.54168466842479
COAD,29923,HILPDA,1e-20,2.43041631442745
COAD,23382,AHCYL2,5.5856e-16,-2.98520093292954
COAD,57464,STRIP2,1e-20,2.02502879449152
COAD,100287482,SMKR1,1e-20,1.84398384404833
COAD,57016,AKR1B10,8.4261e-15,-4.28553320254944
COAD,5764,PTN,1.5511e-11,-2.50347964346587
COAD,57670,KIAA1549,1e-20,2.41658567404981
COAD,92092,ZC3HAV1L,1e-20,2.10925741803892
COAD,79989,TTC26,1e-20,1.95301380721348
COAD,27147,DENND2A,1e-20,-1.58516764754566
COAD,155038,GIMAP8,9.7384e-13,-1.88760979669681
COAD,168537,GIMAP7,4.3636e-12,-1.79255289936752
COAD,474344,GIMAP6,9.7271e-13,-1.63811268588695
COAD,170575,GIMAP1,1.0429e-12,-1.89731693158262
COAD,26,AOC1,3.6749e-15,-2.28403515469445
COAD,7516,XRCC2,1e-20,2.27217979946512
COAD,6469,SHH,1e-20,2.17506053347137
COAD,645249,MNX1-AS1,1e-20,1.76240042396191
COAD,54892,NCAPG2,1e-20,1.50931282969022
COAD,285,ANGPT2,1e-20,1.63911827076806
COAD,137075,CLDN23,1.3004e-11,-3.22716027248582
COAD,9,NAT1,4.2463e-14,-1.51871659228573
COAD,10,NAT2,8.9401e-17,-2.0739518145622
COAD,2675,GFRA2,2.2941e-14,-1.92295896423617
COAD,10361,NPM2,1e-20,1.54103377758721
COAD,4017,LOXL2,1e-20,1.70950794051222
COAD,6781,STC1,1e-20,2.53669260540129
