cancer_type,ncbi_gene_id,gene_symbol,fdr_adjusted_p_value,log2_fold_change
LUAD,2202,EFEMP1,1e-20,-1.87345969875794
LUAD,100129434,AC007743.1,5.9499e-17,-2.18173865968866
LUAD,114800,CCDC85A,1.1918e-17,-1.87381319835909
LUAD,5013,OTX1,1e-20,1.92295896423617
LUAD,29094,LGALSL,2.063e-15,-1.74130043558315
LUAD,200504,GKN2,1.8915e-14,-5.21677372801287
LUAD,150726,FBXO41,1e-20,1.67959937485923
LUAD,10797,MTHFD2,1e-20,1.63100693460243
LUAD,6439,SFTPB,1.1889e-16,-1.72259147462779
LUAD,84913,ATOH8,1.5696e-15,-2.61037518109409
LUAD,4118,MAL,7.5567e-13,-1.90594176621497
LUAD,150696,PROM2,1e-20,2.43446455384296
LUAD,23397,NCAPH,1e-20,2.38294386956899
LUAD,3899,AFF3,5.951e-18,-3.30873947034459
LUAD,8808,IL1RL2,1e-20,1.62433488944509
LUAD,130827,TMEM182,1e-20,1.58353338218836
LUAD,2274,FHL2,1e-20,2.37149600394235
LUAD,27233,SULT1C4,1.1348e-14,-2.51650203620933
LUAD,55289,ACOXL,1e-20,-2.5670586262992
LUAD,150468,CKAP2L,1e-20,2.16671544496642
LUAD,8685,MARCO,1e-20,-3.7450764866194
LUAD,80775,TMEM177,1e-20,1.56635428719555
LUAD,2995,GYPC,1e-20,-1.80837009382444
LUAD,55679,LIMS2,1e-20,-2.88642509653406
LUAD,344148,NCKAP5,1e-20,-4.57272372576888
LUAD,9839,ZEB2,1e-20,-1.64044412320544
LUAD,11227,GALNT5,2.4e-11,-1.54840691932999
LUAD,9936,CD302,1e-20,-1.55868065619285
LUAD,2191,FAP,1e-20,2.05549310989305
LUAD,6332,SCN7A,7.3372e-17,-2.83716059242654
LUAD,115677,NOSTRIN,4.0457e-14,-1.64368481270199
LUAD,57405,SPC25,1e-20,2.2250167886076
LUAD,79901,CYBRD1,1e-20,-2.03553940713258
LUAD,5163,PDK1,1e-20,1.56896739773937
LUAD,11069,RAPGEF4,4.612e-16,-2.01706079476947
LUAD,83879,CDCA7,1e-20,3.13665491023544
LUAD,151126,ZNF385B,2.6315e-19,-3.10092336897912
LUAD,10203,CALCRL,6.9404e-17,-2.87249938154193
LUAD,1281,COL3A1,1e-20,2.67082799237162
LUAD,8436,CAVIN2,1e-20,-3.61680115855989
LUAD,5334,PLCL1,4.3962e-19,-1.77518098201886
LUAD,33,ACADL,1e-20,-4.02389730384413
LUAD,7145,TNS1,1e-20,-2.32616129280522
LUAD,151306,GPBAR1,1.5855e-18,-2.14947250352576
LUAD,6556,SLC11A1,6.7838e-11,-1.83682651035861
LUAD,1593,CYP27A1,8.2422e-17,-1.66395169627212
LUAD,1674,DES,1.0036e-14,-3.80630046752533
LUAD,130367,SGPP2,6.328900000000001e-19,1.80450823631596
LUAD,79843,FAM124B,5.8764e-11,-1.84097053248826
LUAD,1286,COL4A4,4.6682e-13,-1.52665112147191
LUAD,1285,COL4A3,4.7391e-11,-2.16735277871343
LUAD,80704,SLC19A3,6.240600000000001e-19,-3.68822055742498
